country_name,indicator_code,country_code,educational_index_id,country_id
Austria,BAR.TER.SCHL.3539,AUT,357cb2ad-865a-4154-9682-4a93ded1a734,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.4044.FE,AUT,a0d7b1bd-e20b-4ce6-becd-859f8096b9f7,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.4044,AUT,a1792d97-04c3-4cff-9ba6-94457ea56a18,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.4549.FE,AUT,6c1cbf5c-2365-41f6-a093-25b86295a3e5,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.4549,AUT,f49a5369-e660-41b1-95d2-dfc9282d9b87,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.5054.FE,AUT,4413b992-73f4-4c05-a60f-14347a5fbfe1,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.5054,AUT,171290e7-48d8-426c-9aef-8cedf9b4d9b3,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.5559.FE,AUT,54896279-7002-4053-b91d-4a3fe1612e7c,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.5559,AUT,ad0c8b44-e402-43a4-8535-2bd5cde2d5b6,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.6064.FE,AUT,ea3c2669-2cd8-4b45-9e99-84ca0d8683dc,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.6064,AUT,7e4b805d-ecd5-41f4-97ea-421e8dfb5fcf,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.6569.FE,AUT,2847c098-0a77-4fc9-a16f-c86516b6cce3,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.6569,AUT,cc07e608-8572-4e14-b34f-d9adde0d4ce9,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.7074.FE,AUT,61d6e56f-7dd5-4e4a-ae69-599172be2614,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
